Feature,Fitness,Contribution,VotingWeights,NormFit,Size
NIQ,873.2302701821991,52.43630294264767,1.0,1.0,33
NIQ,897.995421443391,0.0,0.0,1.0,33
NIQ,897.995421443391,0.0,0.0,1.0,35
NIQ,901.8254650883409,52.696829234419056,1.0,1.0,19
NIQ,903.8090269052191,27.8749227104654,1.0,1.0,47
NIQ,909.5760647392653,0.0,0.0,1.0,49
NIQ,910.000799214522,0.0,0.0,1.0,35
NIQ,910.000799214522,0.0,0.0,1.0,25
NIQ,910.000799214522,0.0,0.0,1.0,29
NIQ,910.000799214522,0.0,0.0,1.0,37
WIQ,873.2302701821991,468.17180874622227,1.0,1.0,33
WIQ,897.995421443391,443.40665748503034,1.0,1.0,33
WIQ,897.995421443391,443.40665748503034,1.0,1.0,35
WIQ,901.8254650883409,1.7976931348623157E308,1.0,1.0,19
WIQ,903.8090269052191,598.0297588211079,1.0,1.0,47
WIQ,909.5760647392653,189.61411032534488,1.0,1.0,49
WIQ,910.000799214522,507.9899227841088,1.0,1.0,35
WIQ,910.000799214522,431.4012797138994,1.0,1.0,25
WIQ,910.000799214522,507.9899227841088,1.0,1.0,29
WIQ,910.000799214522,1.7976931348623157E308,1.0,1.0,37
MWT,873.2302701821991,96.53013007043046,1.0,1.0,33
MWT,897.995421443391,71.76497880923853,1.0,1.0,33
MWT,897.995421443391,71.76497880923853,1.0,1.0,35
MWT,901.8254650883409,67.93493516428862,1.0,1.0,19
MWT,903.8090269052191,66.22263712301174,1.0,1.0,47
MWT,909.5760647392653,79.15691417498056,1.0,1.0,49
MWT,910.000799214522,78.73217969972393,1.0,1.0,35
MWT,910.000799214522,59.759601038107576,1.0,1.0,25
MWT,910.000799214522,78.73217969972393,1.0,1.0,29
MWT,910.000799214522,59.759601038107576,1.0,1.0,37
PT,873.2302701821991,0.0,0.0,1.0,33
PT,897.995421443391,0.0,0.0,1.0,33
PT,897.995421443391,0.0,0.0,1.0,35
PT,901.8254650883409,0.0,0.0,1.0,19
PT,903.8090269052191,24.454863343908073,1.0,1.0,47
PT,909.5760647392653,0.0,0.0,1.0,49
PT,910.000799214522,0.0,0.0,1.0,35
PT,910.000799214522,0.0,0.0,1.0,25
PT,910.000799214522,0.0,0.0,1.0,29
PT,910.000799214522,0.0,0.0,1.0,37
NPT,873.2302701821991,0.0,0.0,1.0,33
NPT,897.995421443391,0.0,0.0,1.0,33
NPT,897.995421443391,0.0,0.0,1.0,35
NPT,901.8254650883409,0.0,0.0,1.0,19
NPT,903.8090269052191,0.0,0.0,1.0,47
NPT,909.5760647392653,9.192271526833792,1.0,1.0,49
NPT,910.000799214522,0.0,0.0,1.0,35
NPT,910.000799214522,0.0,0.0,1.0,25
NPT,910.000799214522,0.0,0.0,1.0,29
NPT,910.000799214522,0.0,0.0,1.0,37
OWT,873.2302701821991,0.0,0.0,1.0,33
OWT,897.995421443391,0.0,0.0,1.0,33
OWT,897.995421443391,0.0,0.0,1.0,35
OWT,901.8254650883409,0.0,0.0,1.0,19
OWT,903.8090269052191,55.78758983199623,1.0,1.0,47
OWT,909.5760647392653,87.78612189307205,1.0,1.0,49
OWT,910.000799214522,0.0,0.0,1.0,35
OWT,910.000799214522,0.0,0.0,1.0,25
OWT,910.000799214522,162.14102326967623,1.0,1.0,29
OWT,910.000799214522,0.0,0.0,1.0,37
WKR,873.2302701821991,177.25954333927803,1.0,1.0,33
WKR,897.995421443391,100.87292698939746,1.0,1.0,33
WKR,897.995421443391,100.87292698939746,1.0,1.0,35
WKR,901.8254650883409,0.0,0.0,1.0,19
WKR,903.8090269052191,25.70413413818278,1.0,1.0,47
WKR,909.5760647392653,0.0,0.0,1.0,49
WKR,910.000799214522,123.25045338019117,1.0,1.0,35
WKR,910.000799214522,0.0,0.0,1.0,25
WKR,910.000799214522,0.0,0.0,1.0,29
WKR,910.000799214522,0.0,0.0,1.0,37
NOR,873.2302701821991,0.0,0.0,1.0,33
NOR,897.995421443391,0.0,0.0,1.0,33
NOR,897.995421443391,0.0,0.0,1.0,35
NOR,901.8254650883409,58.5813526464317,1.0,1.0,19
NOR,903.8090269052191,0.0,0.0,1.0,47
NOR,909.5760647392653,0.0,0.0,1.0,49
NOR,910.000799214522,0.0,0.0,1.0,35
NOR,910.000799214522,0.0,0.0,1.0,25
NOR,910.000799214522,0.0,0.0,1.0,29
NOR,910.000799214522,0.0,0.0,1.0,37
W,873.2302701821991,177.25954333927803,1.0,1.0,33
W,897.995421443391,0.0,0.0,1.0,33
W,897.995421443391,0.0,0.0,1.0,35
W,901.8254650883409,0.0,0.0,1.0,19
W,903.8090269052191,14.296037286705541,1.0,1.0,47
W,909.5760647392653,0.0,0.0,1.0,49
W,910.000799214522,0.0,0.0,1.0,35
W,910.000799214522,0.0,0.0,1.0,25
W,910.000799214522,162.14102326967623,1.0,1.0,29
W,910.000799214522,0.0,0.0,1.0,37
TIS,873.2302701821991,0.0,0.0,1.0,33
TIS,897.995421443391,0.0,0.0,1.0,33
TIS,897.995421443391,0.0,0.0,1.0,35
TIS,901.8254650883409,0.0,0.0,1.0,19
TIS,903.8090269052191,0.0,0.0,1.0,47
TIS,909.5760647392653,52.844686020970585,1.0,1.0,49
TIS,910.000799214522,0.0,0.0,1.0,35
TIS,910.000799214522,0.0,0.0,1.0,25
TIS,910.000799214522,0.0,0.0,1.0,29
TIS,910.000799214522,0.0,0.0,1.0,37
