Feature,Fitness,Contribution,VotingWeights,NormFit,Size
NIQ,893.569630197735,56.22675912480918,1.0,1.0,55
NIQ,901.4632778582709,0.0,0.0,1.0,51
NIQ,907.1005645035239,0.0,0.0,1.0,53
NIQ,909.3579393383225,54.014319924981464,1.0,1.0,53
NIQ,920.5287238451965,114.95206750452417,1.0,1.0,55
NIQ,922.5668879109435,794.826621883065,1.0,1.0,53
NIQ,922.8823253049486,85.37378740810709,1.0,1.0,51
NIQ,929.4845939406168,73.55505524673572,1.0,1.0,51
NIQ,933.0307901192273,64.49967996021314,1.0,1.0,59
NIQ,936.3876404065522,144.19281857892383,1.0,1.0,59
WIQ,893.569630197735,636.2511282135974,1.0,1.0,55
WIQ,901.4632778582709,1121.7268320408093,1.0,1.0,51
WIQ,907.1005645035239,104.66596469143042,1.0,1.0,53
WIQ,909.3579393383225,39.2677119737391,1.0,1.0,53
WIQ,920.5287238451965,19.08768215204509,1.0,1.0,55
WIQ,922.5668879109435,38.83628081466668,1.0,1.0,53
WIQ,922.8823253049486,148.36645358793794,1.0,1.0,51
WIQ,929.4845939406168,194.886824598334,1.0,1.0,51
WIQ,933.0307901192273,-7.9764431065659664,0.0,1.0,59
WIQ,936.3876404065522,291.11886524378497,1.0,1.0,59
MWT,893.569630197735,799.3635425492848,1.0,1.0,55
MWT,901.4632778582709,153.82168583051862,1.0,1.0,51
MWT,907.1005645035239,0.0,0.0,1.0,53
MWT,909.3579393383225,7.820012270949519,1.0,1.0,53
MWT,920.5287238451965,0.0,0.0,1.0,55
MWT,922.5668879109435,0.0,0.0,1.0,53
MWT,922.8823253049486,0.0,0.0,1.0,51
MWT,929.4845939406168,0.0,0.0,1.0,51
MWT,933.0307901192273,0.0,0.0,1.0,59
MWT,936.3876404065522,94.29132083116019,1.0,1.0,59
PT,893.569630197735,2561.6776432804245,1.0,1.0,55
PT,901.4632778582709,0.0,0.0,1.0,51
PT,907.1005645035239,321.60828757402305,1.0,1.0,53
PT,909.3579393383225,2256.4623414635425,1.0,1.0,53
PT,920.5287238451965,771.6363198432109,1.0,1.0,55
PT,922.5668879109435,708.9952420492718,1.0,1.0,53
